*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 15, 2018; 17:43:28
                                                                                
*RUN   1        : Sim                       MZCER046 UNME2015    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UNME2015 MZ                                                   
 DATA PATH      :                                                               
 TREATMENT  1   : Sim                       MZCER046                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2015 278   188   157  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 279   189   158  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 280   190   159  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 281   191   160  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 282   192   161  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 283   193   162  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 284   194   163  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 285   195   164  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 286   196   165  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 287   197   166  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
 2015 288   198   167  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
